	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
NME4	6.43338999625493e-25	0.315376393922561	0.34	0.151	1.20529561579836e-20
TPTEP1	2.73165548441066e-38	0.31526155205132	0.227	0.015	5.11775655004336e-34
GPX4	9.54068764430561e-18	0.314611868361017	0.714	0.608	1.78744783016066e-13
IRF1	2.9644617545274e-21	0.314466157081399	0.466	0.288	5.55391909710709e-17
GAB1	5.00290373491734e-33	0.314336989490937	0.287	0.074	9.37294014736764e-29
NOVA1	1.89924639309226e-40	0.314003734318887	0.213	0	3.55823811745835e-36
AKR1A1	1.057200885879e-23	0.313785647700448	0.458	0.272	1.98066585969431e-19
SPRY1	2.48382374921955e-28	0.31319452429192	0.222	0.043	4.65344379416284e-24
NKAIN4	9.57357853947782e-31	0.312909011716104	0.176	0.004	1.79360993937117e-26
KHDRBS3	1.21645727811362e-32	0.312861689293359	0.253	0.05	2.27903271054587e-28
CHD7	9.34581481976606e-35	0.311428761159529	0.25	0.042	1.75093840648317e-30
LYRM4	5.63870239451384e-21	0.310692857750372	0.347	0.178	1.05641089361217e-16
PLSCR1	6.98487782538889e-22	0.310673251635825	0.352	0.172	1.30861686058661e-17
SMARCA4	2.50697348087329e-20	0.309366555663721	0.612	0.464	4.69681481641612e-16
HHIP-AS1	3.70567119766077e-28	0.309196441226947	0.287	0.092	6.94257498881745e-24
MILR1	8.25820670159699e-28	0.307898648182459	0.312	0.114	1.5471750255442e-23
ARL2BP	1.70161571748651e-29	0.307597246533551	0.367	0.151	3.18797704671097e-25
PTH2	2.62710768287533e-28	0.307123060635526	0.156	0	4.92188624386693e-24
SHKBP1	3.18470812799782e-29	0.30686199539853	0.419	0.196	5.96655067780391e-25
MPRIP	6.79527293916917e-26	0.305695189557814	0.309	0.12	1.27309438515334e-21
CD34	4.32757923473542e-24	0.30530395257558	0.226	0.061	8.10771969627681e-20
GTF3A	2.3919846095417e-18	0.302173463848315	0.616	0.47	4.48138316597637e-14
PTPN18	5.93523413644545e-27	0.302027821946477	0.297	0.105	1.11196611546306e-22
PTPRK	1.13651862837598e-35	0.302011764080937	0.209	0.01	2.1292676502624e-31
CAP1	7.5344037346233e-22	0.301995369156435	0.634	0.464	1.41157053968168e-17
RGS19	8.59265488708806e-24	0.301515995961664	0.506	0.306	1.60983389309595e-19
VASP	1.13635930579686e-30	0.301289802671671	0.262	0.064	2.12896915941041e-26
SCARB1	3.37165754474696e-29	0.301240921433963	0.252	0.062	6.31680041008343e-25
CITED2	3.42128872747529e-18	0.300823017463768	0.335	0.18	6.40978443092496e-14
DDX5	2.87339442128879e-23	0.300550093541323	0.973	0.967	5.38330444828456e-19
CALCOCO2	9.63417260882741e-23	0.300302622963483	0.392	0.209	1.80496223826382e-18
TMEM219	3.85779124186837e-27	0.300192357843891	0.366	0.163	7.22757189164039e-23
H2BFS	1.25351920695347e-25	0.300126289790809	0.193	0.033	2.34846823422733e-21
FOS	3.81307828431074e-14	0.300123460141979	0.87	0.792	7.14380216565617e-10
ARHGDIA	3.01669695593238e-18	0.299990666938923	0.538	0.392	5.65178174693931e-14
TIMP1	1.03564019954667e-27	0.299954231326381	0.195	0.027	1.94027191385068e-23
IFI35	1.63693074172407e-28	0.298622738997632	0.28	0.086	3.06678974462004e-24
EIF4A1	1.64642479528195e-20	0.298312810423786	0.505	0.331	3.08457685396073e-16
C19orf66	1.92503168932303e-27	0.297491838495566	0.313	0.117	3.6065468699467e-23
RNF5	2.75666375800097e-25	0.297220762755705	0.402	0.203	5.16460955061482e-21
TMED9	1.03884917724999e-25	0.297142962842899	0.456	0.248	1.94628393357786e-21
KMT2E	4.66132565664781e-21	0.296578223191389	0.543	0.356	8.73299361772967e-17
NEGR1	1.78226263451809e-33	0.29520342890792	0.213	0.019	3.33906904576963e-29
B3GNT2	1.24219307377599e-22	0.295135145172778	0.381	0.197	2.32724872371931e-18
MGMT	3.67894060465711e-18	0.29482380189407	0.364	0.211	6.8924952228251e-14
MT-ND4	1.71544360842663e-24	0.293599041852306	0.991	0.993	3.21388360038729e-20
NDUFA13	7.95281051223285e-19	0.293486364186758	0.726	0.601	1.48995904946682e-14
MLXIP	4.81585584252608e-21	0.293274459913359	0.503	0.316	9.0225059209726e-17
PIK3IP1	2.13997615052185e-31	0.292430384820306	0.215	0.028	4.00924531800269e-27
BAG6	2.78542347914605e-24	0.290812951002391	0.381	0.19	5.21849088818012e-20
SERPINB9	8.70833256603751e-29	0.289694386212864	0.267	0.074	1.63150610624713e-24
INSR	3.49676592493906e-19	0.289356613377973	0.412	0.243	6.55119096037332e-15
APH1A	6.08725358363792e-24	0.289205419172211	0.41	0.221	1.14044695889456e-19
TCFL5	5.55137236549265e-34	0.289185072175893	0.205	0.013	1.04004961267505e-29
P2RY8	3.49624423864552e-25	0.288794550395449	0.294	0.11	6.55021358110239e-21
CYTL1	5.33463568366461e-24	0.287300980705496	0.17	0.022	9.99443995334565e-20
HCST	4.35459429594404e-23	0.287224713238982	0.294	0.116	8.15833241345115e-19
JTB	3.0246164961816e-21	0.287081935982152	0.607	0.433	5.66661900559624e-17
CAPN1	6.61613981472877e-24	0.286144827293357	0.393	0.199	1.23953379428943e-19
CLCN7	9.49079200495605e-31	0.285280481631885	0.254	0.056	1.77809988212852e-26
TRIM28	7.30631770979109e-22	0.284628534843007	0.412	0.23	1.36883862292936e-17
PSMB10	1.41031747745934e-18	0.284475440886511	0.514	0.358	2.64222979402006e-14
PTPRE	1.4723139217846e-14	0.284359422679674	0.515	0.378	2.75838013246344e-10
PSMB9	7.28097458297001e-18	0.283388767144371	0.729	0.629	1.36409058811943e-13
LINC01420	9.1424714207192e-23	0.283340120303341	0.413	0.226	1.71284202067174e-18
SAMSN1	1.30805742409121e-30	0.283305119999093	0.198	0.019	2.45064558403488e-26
PPP4C	5.43484626961138e-20	0.282819671237152	0.605	0.442	1.01821844861169e-15
LUC7L3	1.00552452561598e-16	0.282682657961955	0.611	0.469	1.88385019874154e-12
OS9	1.07964812206682e-25	0.282533527576113	0.335	0.141	2.02272075669218e-21
PRDX5	1.89914253562848e-17	0.281830178554627	0.518	0.369	3.55804354049995e-13
TLE1	2.08580956542269e-24	0.281755435586197	0.264	0.089	3.90776422081942e-20
RASAL3	6.47853021607124e-28	0.281724489262514	0.23	0.05	1.21375263598095e-23
HMHA1	5.36963365241954e-21	0.281202856625285	0.38	0.206	1.0060008647808e-16
ACADVL	7.31745591910134e-22	0.281119429321376	0.42	0.236	1.37092536644364e-17
SNAP23	1.73367245553596e-24	0.281021201971061	0.355	0.162	3.24803534544661e-20
HIST1H2BJ	1.18935677577948e-14	0.280958489856713	0.18	0.065	2.22825991942285e-10
CHCHD7	4.63457448253782e-17	0.280181342890408	0.469	0.316	8.68287529303461e-13
DNM2	2.83926186453581e-24	0.280034714457993	0.317	0.134	5.31935710320785e-20
ARHGAP24	4.27507544936738e-27	0.279870654961483	0.164	0.009	8.00935385438979e-23
SAT2	4.97766078194714e-27	0.279788044516585	0.298	0.105	9.32564747497797e-23
PPDPF	4.23273839807236e-16	0.279713670970016	0.79	0.715	7.93003538878857e-12
TGIF1	1.7081708151416e-24	0.277583352525522	0.282	0.102	3.20025802216778e-20
LRCH4	3.83086243458064e-21	0.27741703827381	0.35	0.178	7.17712077118683e-17
FBXW7	8.41395332808152e-24	0.276799957499007	0.334	0.144	1.57635415601607e-19
FAM49A	4.2221654098648e-28	0.276745444463871	0.21	0.036	7.91022689538171e-24
PPP3CC	5.57390883043029e-22	0.276217727128503	0.375	0.19	1.04427181938111e-17
BCAP31	6.37982184653344e-22	0.275067763688276	0.413	0.231	1.19525962294804e-17
DRAP1	5.1702900835516e-17	0.274278867866745	0.576	0.432	9.68653847153393e-13
GTF3C5	1.1981181901145e-17	0.274084959518015	0.273	0.128	2.24467442917952e-13
TSPAN13	4.88553598708672e-18	0.274067904204687	0.448	0.285	9.15305167180696e-14
FCMR	2.85372345512953e-21	0.273447837648669	0.269	0.107	5.34645089318517e-17
TNFRSF1A	2.93691981350802e-26	0.272998619065211	0.226	0.053	5.50231927060728e-22
CARD8	7.12964147307848e-22	0.272975384727035	0.383	0.2	1.33573832998125e-17
MACROD2	4.60392398905214e-26	0.272152743428307	0.223	0.05	8.62545159348918e-22
STUB1	1.83822787314004e-22	0.271768652567612	0.393	0.206	3.44391992032786e-18
NECAP2	1.6843637180991e-26	0.270406217844546	0.292	0.101	3.15565542585866e-22
SH2D4B	1.39664137048027e-31	0.268998485157607	0.196	0.015	2.61660760759479e-27
RGMA	1.96935003557396e-33	0.267603026265258	0.18	0	3.68957729164781e-29
PPP2R1A	4.21744399361749e-17	0.267478358469406	0.49	0.338	7.90138132204237e-13
RP11-126K1.6	9.16440864170204e-26	0.267272863832714	0.238	0.064	1.71695195902288e-21
PPP1R14B	4.32335731079928e-21	0.266574525375269	0.308	0.138	8.09980992178246e-17
ATF6B	9.26537378128256e-22	0.266441829388491	0.428	0.24	1.73586777792329e-17
UGT3A2	4.13083166139825e-18	0.265876580147209	0.186	0.056	7.73911311762962e-14
ARHGEF2	6.49000288748672e-23	0.26571065629491	0.283	0.111	1.21590204097064e-18
SIPA1	1.74627272700639e-21	0.265056403080264	0.303	0.135	3.27164195404648e-17
OAZ1	2.039078895079e-22	0.265029136540493	0.974	0.95	3.8202143099305e-18
CLEC11A	1.27729083825833e-12	0.262865795721309	0.255	0.138	2.39300438547698e-08
RHOC	1.77690120919778e-28	0.262360745099625	0.201	0.028	3.32902441543205e-24
CDC37	3.90091018313897e-17	0.261790321646828	0.517	0.368	7.30835522811087e-13
TFPI	1.11510424390062e-24	0.26155680783309	0.162	0.015	2.08914780094781e-20
SCAMP2	1.21109955527545e-24	0.261079379237322	0.287	0.105	2.26899501680856e-20
EIF4H	7.56205745250638e-17	0.26084158578779	0.576	0.427	1.41675146372707e-12
FERMT3	8.7934496076e-19	0.260736840354045	0.338	0.178	1.64745278398386e-14
APEX1	3.47558727559957e-16	0.260565122986851	0.535	0.381	6.51151276083579e-12
RP11-25K19.1	3.09139422138442e-26	0.260022666492093	0.227	0.053	5.7917270737637e-22
SMARCB1	1.39575385573387e-15	0.259944453622394	0.583	0.447	2.61494484871741e-11
ANXA11	2.08089752746902e-16	0.259623839455758	0.451	0.298	3.89856151771321e-12
TNFRSF13C	5.95708978709035e-26	0.259509317126594	0.211	0.043	1.11606077161138e-21
TP53INP1	1.85122024725316e-22	0.258899905459794	0.265	0.095	3.4682611332288e-18
RNH1	9.63799083338545e-22	0.258586211079246	0.296	0.126	1.80567758263476e-17
BZRAP1-AS1	1.41346357195187e-22	0.257575439141054	0.244	0.08	2.64812400205184e-18
RHOB	2.08994744817311e-12	0.257236543715174	0.248	0.132	3.91551654415232e-08
ALOX5AP	2.49165827239188e-17	0.257116910121002	0.238	0.098	4.66812177332619e-13
AKAP8L	1.06818628239945e-23	0.256127581561165	0.277	0.101	2.00124700007537e-19
PLEKHG4B	4.74975871907651e-28	0.255894952847123	0.19	0.022	8.89867296018984e-24
INPP5D	8.50296651101877e-19	0.255651031500896	0.357	0.193	1.59303077583937e-14
ARHGAP4	5.07244853878165e-20	0.255638011713599	0.365	0.193	9.50323233740743e-16
PSMB5	2.14710776511302e-21	0.255373415069211	0.322	0.148	4.02260639793924e-17
RAB34	1.74133685005175e-23	0.254960915200691	0.26	0.089	3.26239458857196e-19
GPAA1	4.39241287989964e-21	0.254951777697093	0.316	0.145	8.22918553049197e-17
DYNLL1	7.69000214374189e-15	0.254827197187646	0.801	0.697	1.44072190163004e-10
GSDMD	1.35588660593426e-18	0.254742207277901	0.421	0.255	2.54025355621784e-14
CCL17	1.21412403788697e-16	0.25460010740314	0.093	0	2.27466138498124e-12
DNMT3A	7.69877772216838e-24	0.253830964469084	0.247	0.077	1.44236600624825e-19
TPST2	2.78669652310999e-25	0.253620277024832	0.246	0.071	5.22087593604656e-21
MT-ND6	9.71183369153721e-07	0.253537973957408	0.267	0.187	0.018195120421095
CNBP	2.76300721289631e-15	0.253465829210496	0.704	0.586	5.17649401336123e-11
MYLIP	5.18295962019273e-17	0.253390463759724	0.387	0.228	9.71027484843108e-13
SLC43A3	3.7315354476304e-18	0.253207100906096	0.275	0.126	6.99103166113556e-14
BSG	2.64416164301661e-15	0.252826790275941	0.474	0.331	4.95383683819161e-11
CCDC28B	2.76243314281775e-25	0.252346137743376	0.237	0.064	5.17541849306906e-21
FLOT1	6.60542918134693e-19	0.252242029096282	0.38	0.215	1.23752715712535e-14
PGLS	3.08011758596951e-17	0.25218157517034	0.477	0.318	5.77060029731388e-13
RERGL	2.93756477286622e-26	0.251486823845195	0.145	0	5.50352760196486e-22
PIM3	3.11663711770662e-18	0.251370039713843	0.352	0.19	5.83901964002336e-14
LYSMD2	1.70702431951013e-21	0.250909735885628	0.281	0.114	3.19811006260223e-17
DNPEP	1.59131586302567e-21	0.25050414904998	0.288	0.12	2.9813302693786e-17
