Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
protein K6-linked ubiquitination	4	0.7936507936507936	0.002814845120944252	BARD1, UBE2S, UBE2T, BRCA1	483	12	19453	13.425120772946862	0.9976928121781211	0.06315808740118665	0.0603432422802424
chromatin organization	18	3.571428571428571	0.002923815478017744	CBX5, CBX3, ATAD2, HMGB2, NUCKS1, ASH2L, YEATS4, DEK, ING2, HIRIP3, ANP32E, HMG20B, BANF1, RCCD1, HMGN2, EZH2, PHF19, HMGN1	483	322	19453	2.2514177693761814	0.9981767296084507	0.06492678906855898	0.06203311601814966
positive regulation of cytokinesis	6	1.1904761904761905	0.003285923538986356	RACGAP1, KIF23, CDC6, KIF20B, AURKB, CDC25B	483	41	19453	5.893955461293743	0.9991662137846743	0.0722232581936389	0.06900439431871348
thymidine biosynthetic process	3	0.5952380952380952	0.003556304207788518	DHFR, DTYMK, TK1	483	4	19453	30.20652173913043	0.9995352136803356	0.07437164333569386	0.0710570297051337
positive regulation of mitotic sister chromatid separation	3	0.5952380952380952	0.003556304207788518	CDCA8, BIRC5, AURKB	483	4	19453	30.20652173913043	0.9995352136803356	0.07437164333569386	0.0710570297051337
establishment of meiotic sister chromatid cohesion	3	0.5952380952380952	0.003556304207788518	RAD21, SMC1A, SMC3	483	4	19453	30.20652173913043	0.9995352136803356	0.07437164333569386	0.0710570297051337
DNA geometric change	3	0.5952380952380952	0.003556304207788518	HMGB2, HMGB3, HMGB1	483	4	19453	30.20652173913043	0.9995352136803356	0.07437164333569386	0.0710570297051337
cellular response to cisplatin	3	0.5952380952380952	0.003556304207788518	RAD51, DDX11, TIMELESS	483	4	19453	30.20652173913043	0.9995352136803356	0.07437164333569386	0.0710570297051337
negative regulation of ubiquitin-protein transferase activity	4	0.7936507936507936	0.003592461341831598	CDC20, BUB3, FBXO5, MAD2L1	483	13	19453	12.392419175027872	0.999570158762553	0.07440540125293521	0.07108928309124452
cellular respiration	6	1.1904761904761905	0.0036553761830248116	COX8A, MT-CO1, UQCRC1, MT-CO3, COX5A, UQCRH	483	42	19453	5.753623188405797	0.9996248205432609	0.07498743141176614	0.07164537318728631
cellular response to UV	7	1.3888888888888888	0.003937180353475586	PCNA, POLD1, PBK, AURKB, RBX1, DDB2, RHNO1	483	61	19453	4.62176288904728	0.9997960071121278	0.08000647623949445	0.07644072799483731
regulation of DNA-dependent DNA replication initiation	4	0.7936507936507936	0.004488818221133163	CDT1, MCM7, GMNN, MCM3	483	14	19453	11.507246376811596	0.9999381427105183	0.08988913729541018	0.08588293619032228
chromatin remodeling	18	3.571428571428571	0.004506976243223909	SMARCB1, CBX3, ACTL6A, PSIP1, VRK1, YEATS4, DEK, TTF2, NUDT5, ACTB, AURKA, CHRAC1, CHEK1, CDK2, CDK1, RAD54L, RBBP7, BUB1	483	336	19453	2.157608695652174	0.9999405259042975	0.08988913729541018	0.08588293619032228
positive regulation of protein dephosphorylation	5	0.992063492063492	0.004755290726139658	CDCA2, PIN1, CALM3, CALM2, PPIA	483	28	19453	7.192028985507247	0.999965249885189	0.09311723840095293	0.08896716649450379
regulation of double-strand break repair	5	0.992063492063492	0.004755290726139658	PPP4C, ACTL6A, YEATS4, DEK, ACTB	483	28	19453	7.192028985507247	0.999965249885189	0.09311723840095293	0.08896716649450379
spliceosomal snRNP assembly	5	0.992063492063492	0.005409859269675849	SNRPD1, SNRPG, SNRPD3, LSM4, SNRPB	483	29	19453	6.944027986006997	0.999991576381854	0.10408731501907457	0.09944832604886514
regulation of DNA damage checkpoint	4	0.7936507936507936	0.005508799402123724	BARD1, RAD51, RFWD3, BRCA1	483	15	19453	10.740096618357489	0.9999932011564181	0.10408731501907457	0.09944832604886514
DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	4	0.7936507936507936	0.005508799402123724	CDKN1A, CHEK2, RPS27L, FOXM1	483	15	19453	10.740096618357489	0.9999932011564181	0.10408731501907457	0.09944832604886514
base-excision repair, gap-filling	4	0.7936507936507936	0.005508799402123724	FEN1, PCNA, LIG1, POLD1	483	15	19453	10.740096618357489	0.9999932011564181	0.10408731501907457	0.09944832604886514
regulation of circadian rhythm	7	1.3888888888888888	0.00581075273956781	TOP2A, ID2, NONO, HNRNPD, TIMELESS, CDK1, EZH2	483	66	19453	4.271629336846728	0.9999964652487523	0.10552904353387846	0.10082579925381702
positive regulation of sister chromatid cohesion	3	0.5952380952380952	0.005830063222159488	FEN1, RAD21, DDX11	483	5	19453	24.165217391304346	0.9999966100857265	0.10552904353387846	0.10082579925381702
meiotic chromosome segregation	3	0.5952380952380952	0.005830063222159488	NUF2, SMC4, SMC2	483	5	19453	24.165217391304346	0.9999966100857265	0.10552904353387846	0.10082579925381702
regulation of mitotic centrosome separation	3	0.5952380952380952	0.005830063222159488	CHEK1, NEK2, KIF11	483	5	19453	24.165217391304346	0.9999966100857265	0.10552904353387846	0.10082579925381702
negative regulation of calcium ion export from cell	3	0.5952380952380952	0.005830063222159488	YWHAE, CALM3, CALM2	483	5	19453	24.165217391304346	0.9999966100857265	0.10552904353387846	0.10082579925381702
glycolytic process	6	1.1904761904761905	0.0059594268032435865	LDHA, PKM, TPI1, PGAM1, UCP2, GAPDH	483	47	19453	5.141535615171138	0.9999974387301431	0.10697171111822237	0.1022041696756275
microtubule polymerization	4	0.7936507936507936	0.006656699028170224	TUBA1A, FBXO5, MAPRE1, CKAP5	483	16	19453	10.068840579710145	0.9999994350147408	0.118500245509741	0.11321889752044895
DNA methylation	5	0.992063492063492	0.00772721271239127	HELLS, DNMT1, MGMT, CTCF, EZH2	483	32	19453	6.29302536231884	0.9999999446205287	0.1364296408400885	0.13034921116476422
nuclear migration	4	0.7936507936507936	0.00793625458068225	NUDC, LMNB2, SYNE2, LMNB1	483	17	19453	9.476555839727196	0.9999999648234909	0.13898123875438673	0.13278708883775667
hydrogen ion transmembrane transport	10	1.984126984126984	0.008592630180919575	COX8A, MT-ATP6, CYB5A, SLC25A3, UCP2, UQCRC1, MT-CO3, SLC25A5, COX5A, UQCRH	483	141	19453	2.8564086750950763	0.9999999915449533	0.1440047284854917	0.13758669044714109
positive regulation of mitotic cytokinesis	3	0.5952380952380952	0.008602113110442962	CDCA8, BIRC5, AURKB	483	6	19453	20.13768115942029	0.9999999917173734	0.1440047284854917	0.13758669044714109
adenine transport	3	0.5952380952380952	0.008602113110442962	SLC43A3, VDAC3, SLC25A5	483	6	19453	20.13768115942029	0.9999999917173734	0.1440047284854917	0.13758669044714109
positive regulation of exit from mitosis	3	0.5952380952380952	0.008602113110442962	UBE2C, CDCA5, BIRC5	483	6	19453	20.13768115942029	0.9999999917173734	0.1440047284854917	0.13758669044714109
mitotic centrosome separation	3	0.5952380952380952	0.008602113110442962	NDE1, KIF11, AURKA	483	6	19453	20.13768115942029	0.9999999917173734	0.1440047284854917	0.13758669044714109
microtubule bundle formation	5	0.992063492063492	0.008624238614033625	PSRC1, PRC1, PLK1, KIF20A, MAPRE1	483	33	19453	6.1023276240667546	0.9999999921061202	0.1440047284854917	0.13758669044714109
regulation of double-strand break repair via homologous recombination	4	0.7936507936507936	0.009350678290257281	RAD51AP1, RAD51, PPP4C, CHEK1	483	18	19453	8.950080515297907	0.9999999983723359	0.15375084761232202	0.14689844214770598
response to corticosterone	4	0.7936507936507936	0.009350678290257281	CDKN1A, FOSB, CALM3, CALM2	483	18	19453	8.950080515297907	0.9999999983723359	0.15375084761232202	0.14689844214770598
response to organic substance	5	0.992063492063492	0.009586679967587495	CDK4, CDK2, XRCC1, TIMP1, CRIP1	483	34	19453	5.9228473998294975	0.9999999990257245	0.1546277586976344	0.14773627084481503
RNA catabolic process	5	0.992063492063492	0.009586679967587495	RNASEH2C, RNASEH2A, EXOSC8, HNRNPD, EXOSC3	483	34	19453	5.9228473998294975	0.9999999990257245	0.1546277586976344	0.14773627084481503
nucleosome assembly	11	2.1825396825396823	0.009619368461227023	SUPT16H, CHAF1A, CHRAC1, NASP, HP1BP3, HMGB2, NAP1L1, DNAJC9, ANP32B, SSRP1, ASF1B	483	169	19453	2.6214732870251263	0.9999999990925845	0.1546277586976344	0.14773627084481503
protein sumoylation	6	1.1904761904761905	0.009883244736355825	UBE2I, SUMO3, SUMO2, NFATC2IP, HMG20B, SAE1	483	53	19453	4.559474979491386	0.9999999994888752	0.15769266046007738	0.15066457531422434
negative regulation of gene expression, epigenetic	5	0.992063492063492	0.010616277613466589	ING2, CHEK1, BRCA1, EZH2, PHF19	483	35	19453	5.753623188405797	0.9999999998963199	0.16814310278975758	0.16064925976848707
nucleosome disassembly	4	0.7936507936507936	0.010902687182829282	SUPT16H, SMARCB1, HMGA1, SSRP1	483	19	19453	8.479023646071703	0.9999999999444283	0.17017672602763967	0.1625922479874106
negative regulation of phosphorylation	4	0.7936507936507936	0.010902687182829282	CDKN2D, CDKN1A, CDKN2C, DYNLL1	483	19	19453	8.479023646071703	0.9999999999444283	0.17017672602763967	0.1625922479874106
liver regeneration	5	0.992063492063492	0.011714679031393014	PCNA, UCP2, TYMS, EZH2, AURKA	483	36	19453	5.593800322061192	0.9999999999905251	0.1809736985156401	0.1729080183589542
maintenance of DNA methylation	3	0.5952380952380952	0.01184646773013243	HELLS, DNMT1, CTCF	483	7	19453	17.26086956521739	0.9999999999928909	0.1809736985156401	0.1729080183589542
negative regulation of calcium ion transmembrane transporter activity	3	0.5952380952380952	0.01184646773013243	YWHAE, CALM3, CALM2	483	7	19453	17.26086956521739	0.9999999999928909	0.1809736985156401	0.1729080183589542
positive regulation of fibroblast proliferation	6	1.1904761904761905	0.012388695932710041	CCNA2, CDKN1A, CCNB1, JUN, CDK4, CDC6	483	56	19453	4.315217391304348	0.9999999999978205	0.1879243030919537	0.17954884668674131
protein localization to chromatin	4	0.7936507936507936	0.01259453180394944	RAD21, PLK1, ESCO2, EZH2	483	20	19453	8.055072463768116	0.9999999999986089	0.1896605405074055	0.18120770304746542
response to oxidative stress	9	1.7857142857142856	0.012679256189910117	PDLIM1, PRDX3, CYB5B, NDUFA6, MT-CO1, NUDT1, PSIP1, BANF1, MICB	483	125	19453	2.899826086956522	0.9999999999988436	0.1896605405074055	0.18120770304746542
localization	5	0.992063492063492	0.012883436930675925	STAG1, RER1, BRCA1, RAC1, NELFE	483	37	19453	5.442616529573051	0.9999999999992594	0.1913856768874203	0.18285595312642106
nucleobase-containing compound metabolic process	5	0.992063492063492	0.014124008188514328	PRPSAP1, DUT, DDX11, ERH, TK1	483	38	19453	5.299389778794813	0.9999999999999507	0.20837749067164288	0.19909047158878418
DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	4	0.7936507936507936	0.014428023686121262	PIDD1, CDKN1A, CHEK2, GTSE1	483	21	19453	7.671497584541063	0.9999999999999746	0.20998623662098106	0.20062751855430783
regulation of mitotic spindle organization	4	0.7936507936507936	0.014428023686121262	GPSM2, TPX2, PSRC1, TACC3	483	21	19453	7.671497584541063	0.9999999999999746	0.20998623662098106	0.20062751855430783
hypermethylation of CpG island	3	0.5952380952380952	0.015538118180847693	HELLS, DNMT1, CTCF	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
positive regulation of attachment of mitotic spindle microtubules to kinetochore	3	0.5952380952380952	0.015538118180847693	CDCA8, BIRC5, AURKB	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
replication-born double-strand break repair via sister chromatid exchange	3	0.5952380952380952	0.015538118180847693	RAD51, RAD21, XRCC1	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
negative regulation of stress-activated MAPK cascade	3	0.5952380952380952	0.015538118180847693	PBK, FOXM1, PPIA	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
protein localization to nuclear envelope	3	0.5952380952380952	0.015538118180847693	PLK1, LMNB2, LMNB1	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
mitochondrion transport along microtubule	3	0.5952380952380952	0.015538118180847693	UXT, UBB, KIF5B	483	8	19453	15.103260869565215	0.9999999999999978	0.21733186078925928	0.20764576114405553
cerebral cortex development	7	1.3888888888888888	0.01612565634808836	YWHAE, ASPM, ARHGAP11B, TUBA1A, NDE1, NPY, TACC3	483	82	19453	3.4381406857546835	0.9999999999999993	0.22409460499214404	0.21410710170558608
mRNA export from nucleus	6	1.1904761904761905	0.017461985691993302	DDX39A, ALYREF, HNRNPA2B1, EIF4A3, SRSF3, MAGOHB	483	61	19453	3.961511047754811	1.0	0.24110972551636908	0.2303638881674501
positive regulation of cell proliferation	23	4.563492063492063	0.017706321967505233	MAZ, ACTL6A, ILK, NAP1L1, ASH2L, FOXM1, ACTB, CDC25B, PRDX3, CDC20, CDK4, PRC1, NPY, CDK2, RAC2, BIRC5, PTPN6, TIMP1, RAC1, FBXO5, SLC25A5, KIF20B, EZH2	483	545	19453	1.6996941896024464	1.0	0.2429262262293393	0.2320994306313743
negative regulation of mRNA splicing, via spliceosome	4	0.7936507936507936	0.018525156554422363	HNRNPA2B1, SRSF4, SRSF10, RBMX	483	23	19453	7.004410838059233	1.0	0.2509634416240614	0.23977844144025928
regulation of protein complex assembly	4	0.7936507936507936	0.018525156554422363	HSPA8, HSP90AA1, DUT, HJURP	483	23	19453	7.004410838059233	1.0	0.2509634416240614	0.23977844144025928
female meiosis I	3	0.5952380952380952	0.019653000496751335	UBB, TRIP13, CDC25B	483	9	19453	13.425120772946858	1.0	0.26131211771606405	0.24966589519947066
positive regulation of ryanodine-sensitive calcium-release channel activity	3	0.5952380952380952	0.019653000496751335	GSTO1, CALM3, CALM2	483	9	19453	13.425120772946858	1.0	0.26131211771606405	0.24966589519947066
DNA topological change	3	0.5952380952380952	0.019653000496751335	TOP2A, HMGB2, HMGB1	483	9	19453	13.425120772946858	1.0	0.26131211771606405	0.24966589519947066
U2-type prespliceosome assembly	4	0.7936507936507936	0.020790455899022415	SNRPD1, SNRPG, SNRPD3, SNRPB	483	24	19453	6.712560386473431	1.0	0.27474013500916733	0.2624954493263076
male gonad development	8	1.5873015873015872	0.02147943782634542	ASPM, RRM1, NASP, NUDT1, HMGB2, FANCA, MEA1, EIF2S2	483	112	19453	2.876811594202899	1.0	0.2821140797435856	0.26954075028426144
regulation of mRNA stability	6	1.1904761904761905	0.022389951894017674	CARHSP1, PSMC3, PSMB2, PSMB3, VIM, ZFP36L1	483	65	19453	3.7177257525083607	1.0	0.29229064472553984	0.2792637636235659
response to cadmium ion	4	0.7936507936507936	0.02320076603070539	DTYMK, PCNA, CDK1, NUDT1	483	25	19453	6.444057971014494	1.0	0.29924820377328987	0.28591123647420175
mitochondrial electron transport, cytochrome c to oxygen	4	0.7936507936507936	0.02320076603070539	COX8A, MT-CO1, MT-CO3, COX5A	483	25	19453	6.444057971014494	1.0	0.29924820377328987	0.28591123647420175
negative regulation of ubiquitin protein ligase activity	3	0.5952380952380952	0.024167964328733894	MAD2L2, FBXO5, MAD2L1	483	10	19453	12.082608695652173	1.0	0.30803429091179174	0.29430574312742225
mitotic nuclear envelope reassembly	3	0.5952380952380952	0.024167964328733894	UBE2I, RCC1, BANF1	483	10	19453	12.082608695652173	1.0	0.30803429091179174	0.29430574312742225
positive regulation of stem cell population maintenance	5	0.992063492063492	0.02871323329682529	ING2, SMARCB1, ACTL6A, RBBP7, ACTB	483	47	19453	4.284613012642615	1.0	0.36168599135299223	0.3455662814319675
anaphase-promoting complex-dependent catabolic process	5	0.992063492063492	0.02871323329682529	CDC20, PSMB2, UBE2C, UBE2S, PSMB3	483	47	19453	4.284613012642615	1.0	0.36168599135299223	0.3455662814319675
negative regulation of ryanodine-sensitive calcium-release channel activity	3	0.5952380952380952	0.029060742601124876	GSTO1, CALM3, CALM2	483	11	19453	10.984189723320156	1.0	0.36393511373734294	0.3477151643785756
positive regulation of DNA replication	4	0.7936507936507936	0.031300163296546744	CDT1, PCNA, ATAD5, CDK1	483	28	19453	5.753623188405798	1.0	0.38791817806538015	0.37062934561678385
circadian rhythm	6	1.1904761904761905	0.03133600881308085	NDUFA9, ID2, NONO, TIMELESS, HNRNPR, TYMS	483	71	19453	3.4035517452541333	1.0	0.38791817806538015	0.37062934561678385
heterochromatin assembly	6	1.1904761904761905	0.03301546846266783	CBX3, HMGB1, RBBP7, LMNB2, LMNB1, EZH2	483	72	19453	3.3562801932367146	1.0	0.4063732518204943	0.38826190912097364
natural killer cell mediated cytotoxicity	4	0.7936507936507936	0.034287506067640805	KIF5B, TUBB, PTPN6, TUBB4B	483	29	19453	5.555222388805598	1.0	0.41963231857783123	0.4009300425409362
platelet aggregation	5	0.992063492063492	0.03501076509125915	ILK, PTPN6, PPIA, CLIC1, ACTB	483	50	19453	4.027536231884058	1.0	0.42606320907667916	0.40707431953565726
intrinsic apoptotic signaling pathway in response to DNA damage	5	0.992063492063492	0.03727369917249488	CHEK2, BRCA1, CRIP1, RAD9A, TNFRSF1A	483	51	19453	3.9485649332196644	1.0	0.45025829800536354	0.43019107581013843
cellular response to gamma radiation	4	0.7936507936507936	0.037417008051513496	CDKN1A, XRCC6, RAD51, CHEK2	483	30	19453	5.3700483091787445	1.0	0.45025829800536354	0.43019107581013843
negative regulation of protein binding	6	1.1904761904761905	0.038385397826867215	CDKN1A, DDX11, PIN1, ACTB, AURKB, AURKA	483	75	19453	3.222028985507246	1.0	0.459345260661511	0.43887304848718184
negative regulation of transcription, DNA-templated	23	4.563492063492063	0.03867755425976768	KHDRBS1, HSPA8, JUN, XRCC6, UBE2I, CBX5, CBX3, NONO, GMNN, HMGB2, HMGA1, BRCA1, CTCF, PA2G4, FOXM1, CENPF, ZNF706, ID2, CHMP1A, TIMELESS, BIRC5, RBBP7, EZH2	483	591	19453	1.5673998871968413	1.0	0.46028426450574356	0.43977020257791094
post-translational protein modification	6	1.1904761904761905	0.04028695871824531	CCNA2, PSMB2, PSMB3, CDK2, AURKB, RBX1	483	76	19453	3.179633867276888	1.0	0.4768027971379143	0.45555253319862005
protein K11-linked ubiquitination	4	0.7936507936507936	0.040687355001651646	UBE2C, UBE2S, UBE2T, RNF26	483	31	19453	5.196820944366527	1.0	0.47891017854403084	0.45756599231365624
response to xenobiotic stimulus	13	2.579365079365079	0.043997691553708196	CDKN1A, JUN, HSP90AA1, MGMT, XRCC1, TYMS, CENPF, RAD51, CDK4, CDK1, FOSB, RAD54L, HADH	483	277	19453	1.8901794590069587	1.0	0.5150599326450406	0.492104615312671
mitotic G1 DNA damage checkpoint	3	0.5952380952380952	0.04579593108634402	RFWD3, CDK2, RPS27L	483	14	19453	8.630434782608695	1.0	0.5244898678922355	0.5011142748942529
cellular response to hydroxyurea	3	0.5952380952380952	0.04579593108634402	RAD51, DDX11, TIMELESS	483	14	19453	8.630434782608695	1.0	0.5244898678922355	0.5011142748942529
positive regulation of mitotic metaphase/anaphase transition	3	0.5952380952380952	0.04579593108634402	CDC20, UBE2C, DLGAP5	483	14	19453	8.630434782608695	1.0	0.5244898678922355	0.5011142748942529
negative regulation of cell cycle	5	0.992063492063492	0.047147657509564976	BARD1, CDT1, GMNN, CHMP1A, BRCA1	483	55	19453	3.6613965744400523	1.0	0.5244898678922355	0.5011142748942529
intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	4	0.7936507936507936	0.047644303521594614	CDKN1A, ATAD5, CHEK2, RPS27L	483	33	19453	4.8818620992534045	1.0	0.5244898678922355	0.5011142748942529
regulation of mitochondrial membrane potential	4	0.7936507936507936	0.047644303521594614	PRDX3, UBB, UCP2, CLIC1	483	33	19453	4.8818620992534045	1.0	0.5244898678922355	0.5011142748942529
positive regulation of DNA binding	4	0.7936507936507936	0.047644303521594614	HMGB2, CALM3, HMGB1, CALM2	483	33	19453	4.8818620992534045	1.0	0.5244898678922355	0.5011142748942529
glyceraldehyde-3-phosphate metabolic process	2	0.3968253968253968	0.04894264783952615	TPI1, TALDO1	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
gene silencing	2	0.3968253968253968	0.04894264783952615	CHMP1A, HMGB1	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
DNA replication preinitiation complex assembly	2	0.3968253968253968	0.04894264783952615	CDT1, GMNN	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
female meiosis chromosome separation	2	0.3968253968253968	0.04894264783952615	NCAPH2, NCAPH	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
negative regulation of DNA-dependent DNA replication	2	0.3968253968253968	0.04894264783952615	CDT1, GMNN	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
cellular response to bleomycin	2	0.3968253968253968	0.04894264783952615	DDX11, TIMELESS	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
mitotic spindle elongation	2	0.3968253968253968	0.04894264783952615	PRC1, KIF23	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
regulation of anaphase-promoting complex-dependent catabolic process	2	0.3968253968253968	0.04894264783952615	PLK1, CDK2	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
positive regulation of telomerase RNA reverse transcriptase activity	2	0.3968253968253968	0.04894264783952615	HNRNPA2B1, HNRNPD	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
meiotic G2/MI transition	2	0.3968253968253968	0.04894264783952615	CCNB2, NDC80	483	2	19453	40.27536231884058	1.0	0.5244898678922355	0.5011142748942529
response to toxic substance	6	1.1904761904761905	0.05064181215881056	ARHGAP33, CDKN1A, RAD51, MGMT, CDK1, TYMS	483	81	19453	2.983360171765969	1.0	0.539312208766164	0.5152760100467807
positive regulation of mitotic cell cycle	4	0.7936507936507936	0.05132729934868321	CCNB1, BIRC5, CDC25B, AURKA	483	34	19453	4.738277919863598	1.0	0.539312208766164	0.5152760100467807
protein modification by small protein conjugation	4	0.7936507936507936	0.05132729934868321	UBE2I, UBE2C, UBE2S, SAE1	483	34	19453	4.738277919863598	1.0	0.539312208766164	0.5152760100467807
viral process	4	0.7936507936507936	0.05132729934868321	CHMP1A, RCC1, KPNA2, RAN	483	34	19453	4.738277919863598	1.0	0.539312208766164	0.5152760100467807
apoptotic process	23	4.563492063492063	0.058446162411481595	RTN3, HELLS, ARL6IP1, SIVA1, CKAP2, EMP3, DYNLL1, ZFP36L1, AURKA, TNFRSF1A, BCL2L12, UXT, PIDD1, TPX2, MELK, RAD21, CHEK1, PIM1, CDK1, BIRC5, PPIA, BUB1, ITGB3BP	483	619	19453	1.4964997307485193	1.0	0.5912952648508493	0.5649422725455189
regulation of synaptic vesicle endocytosis	3	0.5952380952380952	0.058470701677451664	CALM3, CALM2, ACTB	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
replicative senescence	3	0.5952380952380952	0.058470701677451664	CDKN1A, CHEK2, CHEK1	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
response to organonitrogen compound	3	0.5952380952380952	0.058470701677451664	VKORC1, CDKN1A, PSMB2	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
microtubule depolymerization	3	0.5952380952380952	0.058470701677451664	STMN1, KIF2C, CKAP5	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	3	0.5952380952380952	0.058470701677451664	BCL2L12, ING2, ATAD5	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
positive regulation of chromatin binding	3	0.5952380952380952	0.058470701677451664	CDT1, DDX11, GMNN	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
protein heterotetramerization	3	0.5952380952380952	0.058470701677451664	NUDT21, RRM1, RRM2	483	16	19453	7.5516304347826075	1.0	0.5912952648508493	0.5649422725455189
double-strand break repair via nonhomologous end joining	4	0.7936507936507936	0.059092073874590686	XRCC6, HMGB2, XRCC1, HMGB1	483	36	19453	4.475040257648954	1.0	0.5920201261668295	0.5656348280646867
activation of innate immune response	4	0.7936507936507936	0.059092073874590686	XRCC6, HSP90AA1, NONO, HMGB1	483	36	19453	4.475040257648954	1.0	0.5920201261668295	0.5656348280646867
positive regulation of DNA-templated transcription, elongation	3	0.5952380952380952	0.06520862795587937	SUPT16H, ALYREF, HMGN1	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
positive regulation of telomere capping	3	0.5952380952380952	0.06520862795587937	HNRNPD, NEK2, AURKB	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
signal transduction in response to DNA damage	3	0.5952380952380952	0.06520862795587937	ATAD5, CHEK2, CHEK1	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
respiratory burst	3	0.5952380952380952	0.06520862795587937	PGAM1, RAC2, RAC1	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
cellular response to nitric oxide	3	0.5952380952380952	0.06520862795587937	CCNA2, CDK2, HNRNPD	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
positive regulation by host of viral transcription	3	0.5952380952380952	0.06520862795587937	JUN, SMARCB1, NUCKS1	483	17	19453	7.107416879795396	1.0	0.6355628263211047	0.6072369064850667
cholesterol biosynthetic process	4	0.7936507936507936	0.06737318926094836	FDPS, EBP, ACAA2, LBR	483	38	19453	4.239511823035851	1.0	0.6537020255319044	0.6245676734190618
protein polyubiquitination	10	1.984126984126984	0.06952323002389799	BARD1, CBFB, PSMB2, UBE2C, UBE2S, PSMB3, UBE2T, BRCA1, RBX1, DDB2	483	205	19453	1.9646518204312478	1.0	0.6646240818987759	0.6350029529005017
phosphate ion transmembrane transport	3	0.5952380952380952	0.07219087166569715	SLC25A3, SLC20A1, UCP2	483	18	19453	6.712560386473429	1.0	0.6646240818987759	0.6350029529005017
microtubule cytoskeleton organization involved in mitosis	2	0.3968253968253968	0.07251005536035855	CDK1, TACC3	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
deoxyribonucleotide biosynthetic process	2	0.3968253968253968	0.07251005536035855	RRM1, RRM2	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
nuclear DNA replication	2	0.3968253968253968	0.07251005536035855	ATAD5, DONSON	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
2'-deoxyribonucleotide biosynthetic process	2	0.3968253968253968	0.07251005536035855	RRM1, RRM2	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
spindle elongation	2	0.3968253968253968	0.07251005536035855	KIF4A, KIF11	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
ribonucleoside diphosphate metabolic process	2	0.3968253968253968	0.07251005536035855	RRM1, RRM2	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
establishment of protein localization to mitochondrial membrane	2	0.3968253968253968	0.07251005536035855	CALM3, CALM2	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
regulation of mast cell chemotaxis	2	0.3968253968253968	0.07251005536035855	RAC2, RAC1	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
post-translational protein acetylation	2	0.3968253968253968	0.07251005536035855	DSCC1, ESCO2	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
establishment of chromosome localization	2	0.3968253968253968	0.07251005536035855	NDE1, BIRC5	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
negative regulation of mitotic metaphase/anaphase transition	2	0.3968253968253968	0.07251005536035855	RAD21, FBXO5	483	3	19453	26.850241545893724	1.0	0.6646240818987759	0.6350029529005017
