Term	Category	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
response to virus	GOTERM_BP_DIRECT	5	2.155172413793104	0.03656096740375981	ISG20, STMN1, BANF1, PIM2, ENO1	221	110	19414	3.993006993006993	1.0	0.4615020359123717	0.4461079443739465
positive regulation of ATPase activity	GOTERM_BP_DIRECT	3	1.293103448275862	0.03726269955414506	DNAJB11, DNAJC9, PFN1	221	27	19414	9.76068376068376	1.0	0.4622502125725408	0.4468311644811705
DNA replication-independent nucleosome assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.03726269955414506	NASP, RBBP4, ASF1B	221	27	19414	9.76068376068376	1.0	0.4622502125725408	0.4468311644811705
positive regulation of DNA replication	GOTERM_BP_DIRECT	3	1.293103448275862	0.03983555643249331	CDT1, PCNA, CDK1	221	28	19414	9.412087912087912	1.0	0.477694714219649	0.4617604916466517
positive regulation of protein dephosphorylation	GOTERM_BP_DIRECT	3	1.293103448275862	0.03983555643249331	CALM3, CALM2, PPIA	221	28	19414	9.412087912087912	1.0	0.477694714219649	0.4617604916466517
cellular response to unfolded protein	GOTERM_BP_DIRECT	3	1.293103448275862	0.03983555643249331	HSPA8, HSPA5, TMBIM6	221	28	19414	9.412087912087912	1.0	0.477694714219649	0.4617604916466517
positive regulation of G2/M transition of mitotic cell cycle	GOTERM_BP_DIRECT	3	1.293103448275862	0.03983555643249331	RRM1, CDK4, CDK1	221	28	19414	9.412087912087912	1.0	0.477694714219649	0.4617604916466517
cellular response to xenobiotic stimulus	GOTERM_BP_DIRECT	4	1.7241379310344829	0.040499317212805946	PCNA, MCM7, HSPA5, E2F1	221	67	19414	5.244546498277842	1.0	0.4816406402415517	0.4655747953968022
aerobic respiration	GOTERM_BP_DIRECT	4	1.7241379310344829	0.04202600249943572	NDUFA6, BLOC1S1, NDUFB11, NDUFV2	221	68	19414	5.167420814479637	1.0	0.4821928193910643	0.4661085557838571
spliceosomal snRNP assembly	GOTERM_BP_DIRECT	3	1.293103448275862	0.042473700372353436	SNRPD1, SNRPG, SNRPB	221	29	19414	9.087533156498674	1.0	0.4821928193910643	0.4661085557838571
chromatin organization	GOTERM_BP_DIRECT	8	3.4482758620689653	0.04354956001077186	CBX3, UHRF1, HMGB2, NUCKS1, BANF1, DEK, HMGN2, HMGN1	221	284	19414	2.4745395449620804	1.0	0.4821928193910643	0.4661085557838571
negative regulation of neuron projection development	GOTERM_BP_DIRECT	4	1.7241379310344829	0.04358130754505515	CD38, VIM, B2M, ITM2C	221	69	19414	5.09253065774805	1.0	0.4821928193910643	0.4661085557838571
dTMP biosynthetic process	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	DUT, TYMS	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
leading strand elongation	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	PCNA, POLE3	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
meiotic chromosome segregation	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	SMC4, SMC2	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
maintenance of protein localization in endoplasmic reticulum	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	HSPA5, KDELR2	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
telomerase holoenzyme complex assembly	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	HSP90AA1, PTGES3	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
peptide antigen assembly with MHC class I protein complex	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	PDIA3, CALR	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
DNA replication, removal of RNA primer	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	FEN1, RNASEH2A	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
positive regulation of mitochondrial ATP synthesis coupled electron transport	GOTERM_BP_DIRECT	2	0.8620689655172413	0.044566813744969805	CHCHD2, CDK1	221	4	19414	43.92307692307693	1.0	0.4821928193910643	0.4661085557838571
protein glycosylation	GOTERM_BP_DIRECT	5	2.155172413793104	0.04537662999774565	SERP1, DAD1, OSTC, RPN1, DDOST	221	118	19414	3.722294654498045	1.0	0.4872908251250448	0.4710365099019717
response to organic substance	GOTERM_BP_DIRECT	3	1.293103448275862	0.04793870033051436	CDK4, ANXA5, CRIP1	221	31	19414	8.501240694789082	1.0	0.5109910353748901	0.4939461641462628
cellular response to DNA damage stimulus	GOTERM_BP_DIRECT	8	3.4482758620689653	0.04921039936271701	TOP2A, VCP, MCM7, XRCC5, CBX3, UBE2T, POLE3, VRK1	221	292	19414	2.4067439409905163	1.0	0.5206894461981602	0.5033210699524954
